klass,kolor
Array,#9457EB
Bignum,#AEC6CF
BasicObject,#DA614E
Object,#50C878
Module,#1C2841
Class,#FFE4C4
Complex,#FFCC00
NilClass,#555555
Numeric,#8AB9F1
String,#5D3954
Float,#D0417E
Fiber,#FFC40C
FiberError,#E18E96
Dir,#FF878D
File,#F984E5
Encoding,#87A96B
Enumerator,#DE3163
StopIteration,#1D2951
Enumerator::Lazy,#D8B2D1
Enumerator::Generator,#E79FC4
Enumerator::Yielder,#E0B0FF
Exception,#E97451
SystemExit,#D3D3D3
SignalException,#DDA0DD
Interrupt,#DA8A67
StandardError,#8C92AC
TypeError,#355E3B
ArgumentError,#cc9900
IndexError,#F56991
KeyError,#E34234
RangeError,#BDB76B
ScriptError,#DBD7D2
SyntaxError,#C84186
LoadError,#808080
NotImplementedError,#E66771
NameError,#B80CE3
NoMethodError,#F88379
RuntimeError,#00A877
SecurityError,#882D17
NoMemoryError,#FE5A1D
EncodingError,#4F666A
SystemCallError,#836953
Encoding::CompatibilityError,#DDA0DD
File::Stat,#B9F2FF
IO,#00CC99
ObjectSpace::WeakMap,#FFE5B4
Hash,#92000A
IOError,#996600
EOFError,#00308F
RubyVM,#E7ACCF
RubyVM::InstructionSequence,#808000
Math::DomainError,#4F3A3C
ZeroDivisionError,#F5F5F5
FloatDomainError,#FFB3DE
Integer,#009B7D
Fixnum,#556B2F
Data,#004242
TrueClass,#E6E6FA
FalseClass,#E49B0F
Thread,#B76E79
Proc,#E9967A
LocalJumpError,#EDC9AF
SystemStackError,#990000
Method,#FE2712
UnboundMethod,#674846
Binding,#664C28
Process::Status,#00aaee
Struct,#FF00FF
Random,#4E82b4
Range,#6082B6
Rational,#00A550
RegexpError,#004225
Regexp,#E4007C
MatchData,#CD5700
Symbol,#F8DE7E
ThreadGroup,#FD3F92
Mutex,#FBAB60
ThreadError,#AAF0D1
Time,#00FF00
Encoding::UndefinedConversionError,#8B4513
Encoding::InvalidByteSequenceError,#850101
Encoding::ConverterNotFoundError,#ABCDEF
Encoding::Converter,#7B1113
RubyVM::Env,#FFE135
Thread::Backtrace,#BB6528
Thread::Backtrace::Location,#882D17
TracePoint,#120A8F
